"fnu","area","region","comuna","sex","age","ses","phone","edu","pond","agecat","approval"
1021,2,10,10109,2,76,5,9,2,0.339,5,1
1539,1,13,13121,2,18,3,9,4,1.88,1,2
1152,1,13,13103,2,45,4,2,3,0.402,4,2
195,2,4,4301,2,70,5,9,2,0.703,5,1
194,2,4,4301,2,63,5,9,3,0.281,5,1
588,1,7,7401,2,71,3,9,2,0.458,5,1
678,1,8,8107,1,49,4,2,3,0.647,4,2
1753,1,13,13201,1,43,3,1,4,1.122,3,2
1248,1,13,13110,1,34,2,9,4,1.051,2,1
34,1,1,1101,1,19,3,1,3,1.343,1,1
1282,1,13,13110,2,78,2,1,3,0.384,5,1
1360,1,13,13114,1,39,1,9,4,1.528,3,1
1718,1,13,13201,1,54,3,1,4,0.362,4,2
473,2,6,6117,1,69,4,2,2,0.794,5,2
740,1,8,8205,2,62,4,2,2,1.383,5,2
1531,1,13,13121,2,81,4,1,2,0.536,5,2
1663,1,13,13128,1,44,4,1,4,0.911,3,1
547,2,7,7201,2,74,4,2,1,0.818,5,1
1659,1,13,13128,1,61,4,2,2,0.838,5,1
1364,1,13,13114,1,21,1,1,4,0.976,1,1
1279,1,13,13110,1,65,2,9,3,1.514,5,3
464,1,6,6117,1,82,2,9,3,0.317,5,1
485,2,6,6301,2,55,4,2,3,0.557,5,2
1519,1,13,13120,1,27,2,2,4,0.535,2,2
1843,2,13,13504,1,46,4,2,2,0.971,4,1
543,1,7,7201,1,76,3,2,4,0.798,5,2
1000,1,10,10101,1,74,4,1,1,0.248,5,2
62,1,2,2101,2,27,3,2,3,0.921,2,1
1864,1,13,13604,2,44,3,9,3,0.562,3,3
905,2,9,9112,2,63,4,9,2,0.329,5,2
1010,2,10,10102,2,39,4,2,2,0.576,3,2
130,1,3,3101,1,67,3,9,2,0.369,5,3
1762,1,13,13201,2,52,4,1,3,0.87,4,2
272,1,5,5108,2,58,3,1,3,0.968,5,2
133,1,3,3202,1,55,2,1,4,0.65,5,1
134,1,3,3202,2,36,3,1,4,0.737,3,3
530,1,7,7102,1,25,4,2,3,0.288,2,2
443,1,6,6106,2,43,3,2,2,0.201,3,2
1350,1,13,13114,2,42,2,9,4,1.017,3,2
974,2,14,14201,2,55,4,2,2,0.921,5,1
829,2,8,8416,2,40,4,9,2,0.785,3,2
1642,1,13,13127,2,72,4,2,3,0.758,5,1
1397,1,13,13115,1,83,4,9,1,0.413,5,1
607,2,7,7408,1,26,4,2,2,0.779,2,1
970,1,14,14107,2,61,4,2,3,1.043,5,2
848,1,9,9101,1,36,4,2,3,0.57,3,2
520,1,7,7101,2,54,4,2,2,0.258,4,1
1761,1,13,13201,2,50,4,1,3,0.87,4,2
788,1,8,8401,2,69,4,2,2,0.684,5,2
314,1,5,5109,2,66,4,1,4,0.353,5,2
969,1,14,14107,2,57,4,2,2,0.348,5,1
879,2,9,9105,2,49,4,2,2,0.195,4,1
894,2,9,9110,1,30,4,2,3,0.974,2,3
365,1,5,5504,2,53,3,2,3,2.658,4,2
877,2,9,9105,2,60,4,2,1,0.565,5,3
1175,1,13,13104,2,61,4,1,2,0.505,5,2
577,2,7,7309,2,36,4,2,2,0.49,3,2
360,1,5,5502,2,53,3,1,2,0.842,4,3
955,1,14,14101,2,29,4,2,3,1.028,2,2
420,1,6,6101,2,74,3,1,2,0.359,5,2
1355,1,13,13114,1,26,1,1,4,0.401,2,1
1773,1,13,13203,2,22,3,1,4,1.506,1,2
542,1,7,7201,2,78,3,2,1,1.619,5,3
462,1,6,6115,2,58,4,2,2,0.399,5,2
1337,1,13,13113,1,45,1,1,4,0.452,4,2
1537,1,13,13121,2,52,3,2,3,1.244,4,2
758,2,8,8301,2,45,4,9,2,0.343,4,2
1326,1,13,13112,2,49,4,2,2,0.718,4,2
403,2,5,5704,2,80,4,2,1,0.126,5,2
375,1,5,5506,2,36,4,1,4,4.805,3,1
973,2,14,14201,2,55,4,2,1,0.46,5,1
488,1,6,6303,2,60,4,2,1,0.53,5,2
1748,1,13,13201,2,23,3,2,4,0.335,1,2
471,2,6,6117,2,73,4,2,2,0.334,5,2
490,1,6,6303,2,57,4,2,1,0.265,5,2
1072,1,11,11202,2,53,5,2,2,0.533,4,2
1155,1,13,13103,2,76,4,2,2,0.23,5,3
1304,1,13,13112,2,66,3,9,2,0.475,5,2
1772,1,13,13203,1,49,3,1,3,1.622,4,2
1057,2,10,10302,2,74,4,2,2,0.373,5,2
206,2,4,4304,2,82,4,2,1,1.013,5,2
397,1,5,5702,2,55,3,2,3,1.979,5,3
496,2,6,6306,2,18,4,2,4,1.326,1,2
1009,2,10,10102,2,59,4,2,1,0.525,5,2
1033,2,10,10205,1,54,5,2,1,0.561,4,2
676,1,8,8107,1,35,3,2,3,0.466,3,2
275,1,5,5108,1,23,3,2,3,1.003,1,1
1658,1,13,13128,1,68,4,1,1,0.335,5,9
825,1,8,8416,2,46,4,9,3,0.478,4,2
61,1,2,2101,2,52,3,2,2,0.235,4,3
1370,1,13,13114,2,45,1,9,4,3.115,4,1
481,2,6,6301,2,57,4,2,3,0.139,5,9
95,1,2,2102,2,57,3,1,2,0.925,5,2
1608,1,13,13124,2,48,4,2,3,0.321,4,2
902,2,9,9112,2,42,4,2,2,0.541,3,2
1063,2,10,10306,2,62,5,2,1,0.439,5,2
1550,1,13,13122,1,71,4,1,1,0.947,5,2
880,2,9,9105,2,50,4,2,3,0.195,4,2
874,1,9,9102,2,81,3,2,3,1.282,5,3
1691,1,13,13130,2,27,2,1,4,1.631,2,2
847,1,9,9101,2,27,3,2,4,0.953,2,3
1771,1,13,13203,1,70,3,1,2,1.742,5,1
378,1,5,5506,2,31,4,2,2,2.538,2,2
967,1,14,14107,2,68,4,2,1,0.695,5,2
1190,1,13,13105,2,37,2,1,4,0.442,3,2
1092,1,12,12401,1,39,3,1,3,0.803,3,1
1338,1,13,13113,1,22,1,1,4,1.912,1,2
881,2,9,9105,2,48,4,2,2,0.391,4,2
892,2,9,9110,1,56,4,2,1,0.799,5,1
494,2,6,6306,1,46,4,2,2,0.501,4,1
876,1,9,9102,2,37,4,9,3,0.477,3,2
280,1,5,5108,1,29,3,1,3,0.975,2,2
394,1,5,5701,1,71,4,2,2,0.558,5,1
1713,1,13,13132,2,35,1,9,4,2.106,3,1
640,1,8,8101,2,43,3,1,4,0.764,3,1
500,1,6,6310,2,41,4,1,3,1.429,3,1
54,1,2,2101,1,39,4,2,3,0.664,3,3
493,2,6,6306,1,23,4,2,3,1.482,1,2
1108,1,13,13101,2,35,3,1,3,0.864,3,2
823,1,8,8416,2,54,5,2,2,0.478,4,2
116,1,3,3101,1,48,5,2,3,2.563,4,2
1867,1,13,13605,1,31,3,1,4,0.377,2,3
873,1,9,9102,2,24,3,2,3,0.728,1,9
1604,1,13,13124,2,42,3,1,4,0.953,3,2
277,1,5,5108,2,47,3,1,3,0.701,4,3
757,2,8,8301,1,39,4,2,3,0.918,3,2
248,1,5,5103,1,60,3,1,3,1.084,5,2
1106,1,13,13101,2,70,3,2,3,0.773,5,2
632,1,8,8101,2,22,4,1,3,0.534,1,2
16,1,15,15101,1,36,3,2,4,0.521,3,2
252,1,5,5103,2,33,3,2,4,1.081,2,2
